transformed_feature,coefficient,feature,feature_type,odds_ratio,absolute_coefficient
numeric__nearest_blocker_lateral_offset,-0.030624239594764995,nearest_blocker_lateral_offset,numeric_standardized,0.9698399320617833,0.030624239594764995
numeric__nearest_blocker_velocity_y,-0.02781294475387428,nearest_blocker_velocity_y,numeric_standardized,0.9725702741593611,0.02781294475387428
numeric__nearest_blocker_acceleration,-0.027538064355686103,nearest_blocker_acceleration,numeric_standardized,0.972837651410287,0.027538064355686103
numeric__quarterback_direction_cos,-0.02513774050746792,quarterback_direction_cos,numeric_standardized,0.9751755815976946,0.02513774050746792
numeric__rusher_direction_cos,0.02428625014951316,rusher_direction_cos,numeric_standardized,1.024583563116005,0.02428625014951316
numeric__football_x,0.02301320319856836,football_x,numeric_standardized,1.0232800500277182,0.02301320319856836
numeric__rusher_direction_sin,0.020565348278535758,rusher_direction_sin,numeric_standardized,1.0207782721665293,0.020565348278535758
numeric__rusher_orientation_cos,0.01922104442306138,rusher_orientation_cos,numeric_standardized,1.0194069579376883,0.01922104442306138
numeric__rusher_velocity_y,-0.018138564546104498,rusher_velocity_y,numeric_standardized,0.9820249490890264,0.018138564546104498
numeric__nearest_blocker_longitudinal_offset,-0.018047738758432408,nearest_blocker_longitudinal_offset,numeric_standardized,0.9821141463291846,0.018047738758432408
numeric__nearest_blocker_direction_cos,0.01802303144620927,nearest_blocker_direction_cos,numeric_standardized,1.01818642642566,0.01802303144620927
numeric__quarterback_velocity_y,0.017299336686109876,quarterback_velocity_y,numeric_standardized,1.0174498368092222,0.017299336686109876
numeric__nearest_blocker_velocity_toward_rusher,-0.016506620413138565,nearest_blocker_velocity_toward_rusher,numeric_standardized,0.9836288673396394,0.016506620413138565
numeric__quarterback_y,-0.015725680605813825,quarterback_y,numeric_standardized,0.9843973222972573,0.015725680605813825
numeric__play_pass_rusher_count,-0.015343679131746843,play_pass_rusher_count,numeric_standardized,0.9847734353587407,0.015343679131746843
numeric__nearest_blocker_orientation_cos,-0.012960217189861406,nearest_blocker_orientation_cos,numeric_standardized,0.9871234047821474,0.012960217189861406
numeric__nearest_blocker_distance,0.012674500618232115,nearest_blocker_distance,numeric_standardized,1.0127551625240763,0.012674500618232115
numeric__play_pass_blocker_count,-0.008593525005949135,play_pass_blocker_count,numeric_standardized,0.9914432937868409,0.008593525005949135
numeric__nearest_blocker_orientation_sin,-0.00838856001441326,nearest_blocker_orientation_sin,numeric_standardized,0.9916465257801707,0.00838856001441326
numeric__quarterback_orientation_sin,-0.007380701908442269,quarterback_orientation_sin,numeric_standardized,0.9926464685850236,0.007380701908442269
numeric__protection_count_advantage,0.006222090346694004,protection_count_advantage,numeric_standardized,1.0062414877607875,0.006222090346694004
numeric__nearest_blocker_orientation_to_rusher_alignment,0.0008987271455989463,nearest_blocker_orientation_to_rusher_alignment,numeric_standardized,1.0008991311218525,0.0008987271455989463
