policy,threshold,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,specificity,predicted_positive_count,predicted_positive_rate,actual_positive_rate,threshold_multiplier,relative_change_pct,is_selected,precision_delta,recall_delta,f1_delta,specificity_delta,predicted_positive_rate_delta
sensitivity_0.80,0.099884118452258489,1352,2086,108,319,0.13264033264033265,0.74707259953161598,0.22528248587570621,0.39325189063408961,2405,0.62225097024579556,0.11047865459249677,0.80000000000000004,-19.999999999999996,False,-0.022198377037086714,0.24121779859484782,-0.011819599744491371,-0.26381617219313558,0.2613195342820181
sensitivity_0.90,0.1123696332587908,1810,1628,164,263,0.13907985193019567,0.61592505854800939,0.22691975841242451,0.52646887725421754,1891,0.48926261319534281,0.11047865459249677,0.90000000000000002,-9.9999999999999982,False,-0.015758857747223687,0.11007025761124123,-0.010182327207773068,-0.13059918557300765,0.12833117723156534
sensitivity_0.95,0.11861239066205695,2038,1400,186,241,0.14686166971358927,0.56440281030444961,0.23307543520309479,0.59278650378126818,1641,0.42457956015523934,0.11047865459249677,0.94999999999999996,-5.0000000000000044,False,-0.0079770399638300904,0.058548009367681453,-0.0040266504171027895,-0.064281559045957004,0.063648124191461874
sensitivity_1.00,0.12485514806532311,2259,1179,211,216,0.15483870967741936,0.50585480093676816,0.23710208562019758,0.65706806282722519,1395,0.36093143596377747,0.11047865459249677,1,0,True,0,0,0,0,0
sensitivity_1.05,0.13109790546858927,2441,997,244,183,0.15508474576271186,0.42857142857142855,0.22775357809583074,0.71000581733566026,1180,0.3053040103492885,0.11047865459249677,1.05,5.0000000000000044,False,0.00024603608529250032,-0.077283372365339609,-0.0093485075243668336,0.052937754508435075,-0.055627425614488968
sensitivity_1.10,0.13734066287185542,2614,824,278,149,0.15313463514902365,0.34894613583138173,0.21285714285714286,0.76032577079697494,973,0.25174644243208277,0.11047865459249677,1.1000000000000001,10.000000000000009,False,-0.0017040745283957159,-0.15690866510538642,-0.024244942763054722,0.10325770796974976,-0.1091849935316947
sensitivity_1.20,0.14982617767838771,2851,587,327,100,0.14556040756914118,0.23419203747072601,0.17953321364452424,0.82926119837114598,687,0.1777490297542044,0.11047865459249677,1.2,19.999999999999996,False,-0.0092783021082781802,-0.27166276346604212,-0.057568871975673341,0.17219313554392079,-0.18318240620957307
